timestamp,elapsed_s,rss_mb,vsz_mb,sys_used_mb,sys_avail_mb
10:01:18,787,2,8,79287,48652
10:01:23,792,2,8,79284,48655
10:01:28,797,2,8,79280,48660
10:01:33,802,2,8,79303,48637
10:01:38,807,2,8,79312,48628
10:01:43,812,2,8,79314,48626
10:01:48,817,2,8,79302,48638
10:01:53,822,2,8,79302,48638
10:01:58,827,2,8,79264,48675
10:02:03,832,2,8,79280,48659
10:02:08,837,2,8,79283,48657
10:02:13,842,2,8,79276,48664
10:02:18,847,2,8,79287,48652
10:02:23,852,2,8,79277,48663
10:02:28,857,2,8,79268,48672
10:02:33,862,2,8,79276,48663
10:02:38,867,2,8,79273,48667
10:02:43,872,2,8,79278,48662
10:02:48,877,2,8,79280,48659
10:02:53,882,2,8,79278,48662
10:02:59,887,2,8,79278,48662
10:03:04,893,2,8,79283,48663
10:03:09,898,2,8,79285,48654
10:03:14,903,2,8,79296,48644
10:03:19,908,2,8,79299,48640
10:03:24,913,2,8,79303,48636
10:03:29,918,2,8,79313,48627
10:03:34,923,2,8,78463,49445
10:03:39,928,2,8,79319,48621
10:03:44,933,2,8,79316,48624
10:03:49,938,2,8,79319,48620
10:03:54,943,2,8,79326,48614
10:03:59,948,2,8,79324,48615
10:04:04,953,2,8,79322,48618
10:04:09,958,2,8,79319,48621
10:04:14,963,2,8,79330,48609
10:04:19,968,2,8,79335,48604
10:04:24,973,2,8,79446,48494
10:04:29,978,2,8,79564,48375
