0.00.036.296 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.036.582 W srv  llama_server: -----------------
0.00.036.583 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.036.583 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.036.583 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.036.583 W srv  llama_server: -----------------
0.00.037.819 I srv    load_model: loading model '/mnt/ssd2/models/qwen38-flash-next/Qwen3.8-Flash-Next-IQ4_XS-PLE.gguf'
0.28.262.833 I cmn          init: llama threadpool init, n_threads = 16
0.28.603.046 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 257024, kv_unified = 'false'
0.28.605.876 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.28.605.922 I srv  llama_server: model loaded
0.28.605.927 I srv  llama_server: listening on http://127.0.0.1:18080
0.30.336.635 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
5.19.169.457 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  98304, progress = 0.38, t = 288.83 s / 340.35 tokens per second
5.26.427.868 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 100352, progress = 0.39, t = 296.09 s / 338.92 tokens per second
5.33.754.955 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 102400, progress = 0.40, t = 303.42 s / 337.49 tokens per second
5.40.989.037 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 104448, progress = 0.41, t = 310.65 s / 336.22 tokens per second
5.48.223.817 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 106496, progress = 0.42, t = 317.89 s / 335.01 tokens per second
5.55.530.297 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 108544, progress = 0.42, t = 325.19 s / 333.78 tokens per second
6.02.873.834 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 110592, progress = 0.43, t = 332.54 s / 332.57 tokens per second
6.10.235.182 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 112640, progress = 0.44, t = 339.90 s / 331.39 tokens per second
6.17.547.920 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 114688, progress = 0.45, t = 347.21 s / 330.31 tokens per second
6.24.978.669 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 116736, progress = 0.46, t = 354.64 s / 329.17 tokens per second
6.32.472.240 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 118784, progress = 0.46, t = 362.14 s / 328.01 tokens per second
6.40.074.231 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 120832, progress = 0.47, t = 369.74 s / 326.80 tokens per second
6.47.734.111 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 122880, progress = 0.48, t = 377.40 s / 325.60 tokens per second
6.55.333.380 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 124928, progress = 0.49, t = 385.00 s / 324.49 tokens per second
7.03.198.388 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 126976, progress = 0.50, t = 392.86 s / 323.21 tokens per second
7.10.808.947 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 129024, progress = 0.50, t = 400.47 s / 322.18 tokens per second
7.18.314.822 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 131072, progress = 0.51, t = 407.98 s / 321.27 tokens per second
7.25.965.929 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 133120, progress = 0.52, t = 415.63 s / 320.29 tokens per second
7.33.822.400 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 135168, progress = 0.53, t = 423.49 s / 319.18 tokens per second
7.41.835.119 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 137216, progress = 0.54, t = 431.50 s / 318.00 tokens per second
7.49.737.655 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 139264, progress = 0.54, t = 439.40 s / 316.94 tokens per second
7.57.689.418 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 141312, progress = 0.55, t = 447.35 s / 315.89 tokens per second
8.05.539.412 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 143360, progress = 0.56, t = 455.20 s / 314.94 tokens per second
8.13.787.521 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 145408, progress = 0.57, t = 463.45 s / 313.75 tokens per second
8.21.981.865 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 147456, progress = 0.58, t = 471.64 s / 312.64 tokens per second
8.30.183.227 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 149504, progress = 0.58, t = 479.85 s / 311.57 tokens per second
8.38.548.933 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 151552, progress = 0.59, t = 488.21 s / 310.42 tokens per second
8.46.890.693 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 153600, progress = 0.60, t = 496.55 s / 309.33 tokens per second
8.55.745.038 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 155648, progress = 0.61, t = 505.41 s / 307.96 tokens per second
9.05.003.954 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 157696, progress = 0.62, t = 514.67 s / 306.40 tokens per second
9.14.325.978 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 159744, progress = 0.62, t = 523.99 s / 304.86 tokens per second
9.22.932.225 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 161792, progress = 0.63, t = 532.60 s / 303.78 tokens per second
9.31.561.344 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 163840, progress = 0.64, t = 541.22 s / 302.72 tokens per second
9.40.126.938 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 165888, progress = 0.65, t = 549.79 s / 301.73 tokens per second
9.49.115.356 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 167936, progress = 0.66, t = 558.78 s / 300.54 tokens per second
9.57.774.068 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 169984, progress = 0.66, t = 567.44 s / 299.56 tokens per second
10.06.885.409 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens = 172032, progress = 0.67, t = 576.55 s / 298.38 tokens per second
